Codesphere,codesphere.com,Information Technology & Services,70
Cofinity-X,cofinity-x.com,Information Technology & Services,87
Cognaize,cognaize.com,Information Technology & Services,280
Cognavi India,cognavi.com,"Technology, Information & Media",51 to 200
Collective Health,collectivehealth.com,Hospital & Health Care,1000+
Colmore,colmore.com,Finance,51 to 200
ColorTokens Inc.,colortokens.com,"Technology, Information & Media",201 to 500
comforte AG,comforte.com,"Technology, Information & Media",51 to 200
CommentSold,commentsold.com,Information Technology & Services,130
Complyance,complyance.io,Finance,51
comstruct,comstruct.com,Information Technology & Services,46
Comviva,comviva.com,"Technology, Information & Media",1001
Conga,conga.com,Information Technology & Services,1900
Contentserv,contentserv.com,"Technology, Information & Media",201
Contlo,contlo.com,"Technology, Information & Media",54
COTA Healthcare,cotahealthcare.com,Hospital & Health Care,250
Cotiviti,cotiviti.com,Information Technology & Services,7500
countX,countx.com,Information Technology & Services,34
Cozero,cozero.io,Information Technology & Services,66
CP Capital,cpcapital.com,Finance,51
CP CORPORATE PLANNING AG,corporate-planning.com,"Technology, Information & Media",51
Craftview,craftview.de,Information Technology & Services,77
Creative Assembly,creative-assembly.com,"Technology, Information & Media",501
Creatopy,creatopy.com,Finance,11
Credex,credex.my,Finance,51
Cresset,cresset-group.com,"Technology, Information & Media",51
Criterion Games,criteriongames.com,"Technology, Information & Media",51
Cronberry,cronberry.com,"Technology, Information & Media",51
Crossbeam,getcrossbeam.com,Information Technology & Services,190
Crypken,crypken.com,Finance,51
Crytek,crytek.com,"Technology, Information & Media",501
Cubic Telecom,cubictelecom.com,"Technology, Information & Media",289
Curinos,curinos.com,Finance,530
Currencies Direct,currenciesdirect.com,Finance,750
Currencycloud,currencycloud.com,Finance,501
DANA Indonesia,dana.id,Finance,501
Dark Matter Technologies,dmatter.com,"Technology, Information & Media",642
Dash0,dash0.com,Information Technology & Services,39
data.world,data.world,Information Technology & Services,220
DataRiseLab,datariselab.com,Finance,
Dawn Health,dawnhealth.care,Hospital & Health Care,
DC Connected Car,dc-connected.de,Information Technology & Services,21
Deciphex,deciphex.com,"Technology, Information & Media",
DecoverAI,decover.ai,"Technology, Information & Media",
Decube,decube.io,Information Technology & Services,40
Deepgram,deepgram.com,Information Technology & Services,210
DeepMatrix,deepmatrix.io,"Technology, Information & Media",
Definitive Healthcare,definitivehc.com,Hospital & Health Care,
Deko,dekopay.com,Finance,
Deltia,deltia.ai,Information Technology & Services,34
Demoboost,demoboost.com,Finance,
Density,density.exchange,Finance,
Dental Stack,dental-stack.com,"Technology, Information & Media",18568
Dentity,dentity.pl,Finance,
Depict,depict.ai,Information Technology & Services,27
DESAISIV,desaisiv.com,Information Technology & Services,30
Descript,descript.com,Information Technology & Services,190
desk.ly,desk.ly,Information Technology & Services,40
deskbird,deskbird.com,Information Technology & Services,110
Devaxcel Inc.,devaxcel.com,"Technology, Information & Media",
DevDynamics,devdynamics.ai,"Technology, Information & Media",18568
devicenow,devicenow.com,Information Technology & Services,67
Diamanti,diamanti.com,"Technology, Information & Media",
Digimans.ai,digimans.ai,Finance,
DigiProc,digiproc.com,Information Technology & Services,25
Digital Bonds AI,digitalbonds.ai,Finance,
Digital Charging Solutions,digitalchargingsolutions.com,Information Technology & Services,310
Digital Modus Ltd,digitalmodus.ai,Finance,
Digitar AI,www.digitar.ai,"Technology, Information & Media",
Disguise,disguise.one,"Technology, Information & Media",
DKK Partners,dkkpartners.com,Finance,
DLE Poland,dle.ag,Finance,
Dock Financial,dock.financial,Finance,
Dock Health,www.dock.health,Hospital & Health Care,
Docplanner,,"Technology, Information & Media",
Docspe,,Hospital & Health Care,
Doctors of Physical Therapy,doctorsofphysicaltherapy.com,Hospital & Health Care,310
Docxster,docxster.com,"Technology, Information & Media",18568
DrFirst,drfirst.com,Hospital & Health Care,470
Duco,duco.com,"Technology, Information & Media",201
Dyn Media,dyn.sport,Information Technology & Services,160
