Company Name,Company Domain,Org Industry,Org Employees
SmartBear,smartbear.com,Information Technology & Services,927
GoDaddy,godaddy.com,Information Technology & Services,6621
Algolia,algolia.com,Information Technology & Services,714
F5,f5.com,Information Technology & Services,6200
New Relic,newrelic.com,Information Technology & Services,2663
Canonical,canonical.com,Information Technology & Services,1800
Travelport,travelport.com,Information Technology & Services,1400
LaunchDarkly,launchdarkly.com,Information Technology & Services,590
New Era Technology,neweratech.com,Information Technology & Services,4500
Precisely,precisely.com,Information Technology & Services,3000
InterSystems,intersystems.com,Information Technology & Services,2400
impact.com,impact.com,Information Technology & Services,1400
Veeam,veeam.com,Information Technology & Services,5500
Cribl,cribl.io,Information Technology & Services,740
Education Horizons,educationhorizons.com,Information Technology & Services,250
DDN,ddn.com,Information Technology & Services,1100
Teradata,teradata.com,Information Technology & Services,5700
Jamf,jamf.com,Information Technology & Services,2600
SS&C Eze,ezesoft.com,Information Technology & Services,1100
Sophos,sophos.com,Information Technology & Services,5600
Hopper,hopper.com,information technology & services,1200
Bunch,the-bunch.co.uk,information technology & services,93
Notilyze,notilyze.com,information technology & services,24
Maisa,maisa.ai,information technology & services,61
Trakti,trakti.com,information technology & services,15
EdgeTier,edgetier.com,information technology & services,80
intent (withintent.com),withintent.com,information technology & services,65
Wunder Mobility,wundermobility.com,information technology & services,44
Hi Rasmus,hirasmus.com,information technology & services,45
Saphetor,saphetor.com,information technology & services,72
Ono AI Based HR Platform,onenewone.com,information technology & services,47
Joppy,joppy.me,information technology & services,79
Scorpion Circle,scorpioncircle.com,information technology & services,15
SPH Engineering,sphengineering.com,information technology & services,68
PEAX AG,peax.ch,information technology & services,18
Spotware,spotware.com,information technology & services,93
Applivery,applivery.com,information technology & services,46
Datavid,datavid.com,information technology & services,82
PlatformE,platforme.com,information technology & services,30
Genestack,genestack.com,information technology & services,44
Learnifier,learnifier.com,information technology & services,40
Capture Group,capture.eu,information technology & services,62
Kaizen Technology,kaizentech.net,information technology & services,54
BotsCrew,botscrew.com,information technology & services,70
IPXO,ipxo.com,information technology & services,78
codoc,codoc.co,information technology & services,41
OGA.ai,oga.ai,information technology & services,59
Siteflow,siteflow.com,information technology & services,64
Allphins,allphins.com,information technology & services,27
StreamUnlimited,streamunlimited.com,information technology & services,78
Storyteller,getstoryteller.com,information technology & services,62
Zertificon Solutions,zertificon.com,information technology & services,93
Person Centred Software,personcentredsoftware.com,information technology & services,93
RIIICO,riiico.com,information technology & services,40
Insly,insly.com,information technology & services,82
Alteia,alteia.com,information technology & services,49
Clinomic,clinomic.ai,information technology & services,51
Openvia Mobility,openvia.io,Mobility/Transport Tech,28
YBVR,ybvr.com,XR/Immersive Streaming,86
GEEIQ,geeiq.com,Brand Intelligence/Metaverse,35
Capcade,capcade.com,FinTech/Capital Markets,69
GemOne,gemone.com,IoT/Field Operations,50
heyData,heydata.eu,Compliance/GDPR SaaS,55
EXADS,exads.com,AdTech,61
Boardwise,boardwise.io,GovTech/Board Management,62
Curvestone AI,curvestone.io,FinTech/LegalTech AI,26
Keesing Technologies,keesingtechnologies.com,Identity Verification/RegTech,44
Abtrace,abtrace.com,HealthTech/NHS AI,40
Embeddable,embeddable.com,Analytics/Developer Tools,17
Modell Aachen,modell-aachen.de,QMS/Process Management,73
Nuvolar Works,nuvolarworks.com,Aviation/Enterprise SaaS,99
Simplicate,simplicate.com,CRM/Project Mgmt SaaS,87
Tomplay,tomplay.com,EdTech/Music SaaS,43
Revenue.AI,revenue.ai,Sales Intelligence/AI,28
Exacaster,exacaster.com,information technology & services,89
Crunch,crunch-is.com,information technology & services,54
ventopay,ventopay.com,information technology & services,51
Signapse,signapse.ai,information technology & services,29
Invenda Group AG,invendagroup.com,information technology & services,63
My1Login,my1login.com,information technology & services,12
intelmatix,intelmatix.ai,information technology & services,54
JACO,jaco.live,information technology & services,160
Zip24,zip24.com,Information Technology & Services,92
InnovationTeam,innovationteam.com,Information Technology & Services,280
Salla,salla.com,Information Technology & Services,890
Syarah,syarah.com,Information Technology & Services,880
Jahez International Company,jahezgroup.com,Information Technology & Services,980
EjadTech,ejadtech.sa,Information Technology & Services,180
AQAR عقار,aqar.fm,Information Technology & Services,690
MRSOOL,mrsool.co,Information Technology & Services,2100
ToYou,toyou.io,information technology & services,740
THIQAH,thiqah.sa,information technology & services,1200
HudHud Maps,hudhud.sa,information technology & services,84
Floward,floward.co,information technology & services,910
HungerStation,hungerstation.com,information technology & services,1800
Foodics,foodics.com,information technology & services,670
Juleb,juleb.com,information technology & services,50
Onsor,onsor.om,information technology & services,93
Snoonu,snoonu.com,information technology & services,1900
Beyon Connect,beyonconnect.com,information technology & services,31
VOIXME,voix.me,information technology & services,35
OSOS,osos.om,information technology & services,300
Rafeeq,gorafeeq.com,information technology & services,630
Salam Technology,salamtechnology.com,information technology & services,430
Lillia,lilliacare.ai,information technology & services,63
Ghaia.ai,ghaia.ai,information technology & services,40
eMushrif,emushrif.com,information technology & services,67
Avey,avey.ai,information technology & services,53
Mitigata,mitigata.com,insurance,110
Symbo,symbo.co,insurance,140
Friendsurance,friendsurance.de,insurance,53
Alteos,alteos.com,insurance,92
Stubben Edge,stubbenedge.com,insurance,82
Shory,shory.com,insurance,250
YallaCompare,yallacompare.com,insurance,120
Igloo,iglooinsure.com,insurance,280
SecureNow Insurance Broker,securenow.in,insurance,240
Quickinsure,quickinsure.co.in,insurance,200
Centivax,centivax.com,biotechnology,32
d2i,d2ihc.com,Information Technology & Services,30
